Crop,Precipitation (mm day-1),Specific Humidity at 2 Meters (g/kg),Relative Humidity at 2 Meters (%),Temperature at 2 Meters (C),Yield
Oil palm fruit,2248.92,17.72,83.4,26.01,169783
Oil palm fruit,1938.42,17.54,82.11,26.11,201436
Oil palm fruit,2301.54,17.81,82.79,26.24,152343
Oil palm fruit,2592.35,17.61,85.07,25.56,181826
Oil palm fruit,2344.72,17.61,84.12,25.76,178183
Oil palm fruit,2339.3,17.7,84.54,25.76,169781
Oil palm fruit,2326.09,18.09,84.63,26.11,166042
Oil palm fruit,2718.08,18.3,85.43,26.12,165262
Oil palm fruit,2061.61,17.8,84.36,25.88,183004
Oil palm fruit,1934.62,17.94,83.43,26.21,177543
Oil palm fruit,2217.12,18.03,84.39,26.1,150428
Oil palm fruit,2249.7,18.01,84.24,26.11,151070
Oil palm fruit,2530.96,18.15,85.33,26.02,172165
Oil palm fruit,2504.7,18.19,85.45,26.02,160862
Oil palm fruit,2686.2,18.38,85.77,26.13,166136
Oil palm fruit,2414.79,18.18,85.76,25.93,163541
Oil palm fruit,1999.53,18.2,84.36,26.27,164772
Oil palm fruit,2362.8,18.7,84.03,26.79,142425
Oil palm fruit,2792.95,18.24,86.04,25.95,165993
Oil palm fruit,2751.24,18.31,85.98,26.02,167621
Oil palm fruit,2646.28,18.4,86.02,26.1,168476
Oil palm fruit,2302.99,18.22,84.48,26.25,162240
Oil palm fruit,2692.34,18.37,85.54,26.18,175629
Oil palm fruit,2424.55,18.28,85.16,26.18,180323
Oil palm fruit,2363.63,18.35,84.92,26.28,184629
Oil palm fruit,2892.78,18.49,86.09,26.18,190626
Oil palm fruit,2729.53,18.41,86.03,26.11,183544
Oil palm fruit,3085.79,18.34,86.1,26.03,195523
Oil palm fruit,2922.18,18.43,85.51,26.23,182696
Oil palm fruit,2546.33,18.43,84.23,26.49,171189
Oil palm fruit,2938.29,18.22,85.42,26.06,185831
Oil palm fruit,2771.73,18.38,84.98,26.3,186959
Oil palm fruit,2607.96,18.37,84.67,26.35,181496
Oil palm fruit,2604.59,18.19,83.44,26.43,203399
Oil palm fruit,2308.51,18.27,83.65,26.47,202379
Oil palm fruit,2410.13,18.58,83.45,26.81,172601
Oil palm fruit,2967.41,18.67,85.48,26.46,199074
Oil palm fruit,2333.46,18.5,84.85,26.43,189657
Oil palm fruit,2109.34,18.51,83.52,26.72,189896
